time,C_mean,qB_mean,HH2,coker,tangency
0.0000,1.000000,0.000000,0.000000,0,0.000000
0.4800,0.859626,0.000000,0.809683,0,0.999938
0.9800,0.718523,0.000000,0.511587,0,0.999223
1.4800,0.584206,0.000000,0.850578,0,0.994923
1.9800,0.483798,0.000000,0.417516,0,0.981222
2.4800,0.401521,0.000000,0.420225,0,0.949193
2.9800,0.412230,0.555775,2.598777,0,0.242753
3.4800,0.427275,0.461877,1.122302,0,0.547781
3.9800,0.462038,0.385651,1.099354,0,0.747720
4.4800,0.450713,0.323478,0.565390,0,0.823584
4.9800,0.429085,0.272598,0.867206,0,0.859281
5.4800,0.442730,0.230762,0.407167,0,0.889886
5.9800,0.439230,0.862907,1.551006,0,0.940589
6.4800,0.426011,0.719631,1.366266,0,0.962832
6.9800,0.449495,0.603021,0.916853,0,0.972819
7.4800,0.475193,0.507660,1.107696,0,0.971330
7.9800,0.464065,0.429413,0.610492,0,0.963639
8.4800,0.468346,0.364902,0.809357,0,0.950924
8.9800,0.497916,0.311527,0.732109,0,0.949064
9.4800,0.497053,0.933830,1.645431,0,0.992191
9.9800,0.491311,0.781794,1.748599,0,0.997174
10.4800,0.520962,0.657678,1.094970,0,0.996522
10.9800,0.536555,0.556015,1.186337,0,0.988108
11.4800,0.527780,0.472343,1.021059,0,0.967864
11.9800,0.546012,0.403237,0.615447,0,0.955055
12.4800,0.570808,0.345892,0.893064,0,0.941183
12.9800,0.565223,0.298139,0.421078,0,0.938982
13.4800,0.569759,0.258195,0.656411,0,0.935257
13.9800,0.595910,0.224667,0.609008,0,0.937671
14.4800,0.597212,0.196407,0.338157,0,0.937594
14.9800,0.590030,0.172511,0.626632,0,0.941443
15.4800,0.609648,0.152226,0.253242,0,0.943527
15.9800,0.618792,0.134957,0.504628,0,0.948998
16.4800,0.605815,0.120204,0.443873,0,0.953987
16.9800,0.614116,0.107567,0.222417,0,0.960926
17.4800,0.629207,0.096710,0.532871,0,0.967032
17.9800,0.617534,0.087359,0.147449,0,0.973299
18.4800,0.613441,0.079285,0.454383,0,0.978267
18.9800,0.630150,0.072298,0.411874,0,0.982679
19.4800,0.625302,0.066237,0.235700,0,0.986296
19.9800,0.611749,0.060971,0.524512,0,0.990098
20.4800,0.624409,0.056385,0.158493,0,0.992805
20.9800,0.628794,0.052384,0.444689,0,0.995466
21.4800,0.611588,0.048887,0.395007,0,0.997083
21.9800,0.615433,0.045826,0.216470,0,0.998292
22.4800,0.627627,0.043142,0.503124,0,0.998901
22.9800,0.613450,0.040784,0.125848,0,0.999366
23.4800,0.606706,0.038710,0.457204,0,0.999594
23.9800,0.622018,0.036882,0.395640,0,0.999755
24.4800,0.616076,0.035268,0.238922,0,0.999841
24.9800,0.600990,0.033841,0.529525,0,0.999907
