time,C_mean,qB_mean,HH2,coker,tangency
0.0000,1.000000,0.000000,0.000000,0,0.000000
0.4800,0.913281,0.874162,1.334762,0,0.671846
0.9800,0.876160,0.761128,0.401012,0,0.639710
1.4800,0.848567,0.663719,0.322923,0,0.653655
1.9800,0.832096,0.579600,0.144116,0,0.692583
2.4800,0.815239,0.506805,0.183854,0,0.732102
2.9800,0.805176,0.999472,1.599531,0,0.650748
3.4800,0.802676,0.850771,1.208492,0,0.666631
3.9800,0.804681,0.726880,1.010212,0,0.688244
4.4800,0.797588,0.623192,0.706270,0,0.704937
4.9800,0.794712,0.536108,0.646861,0,0.734738
5.4800,0.801471,0.462663,0.500802,0,0.770334
5.9800,0.799245,1.067183,2.211444,0,0.944431
6.4800,0.795713,0.899739,1.787555,0,0.953628
6.9800,0.803728,0.761967,1.335128,0,0.949321
7.4800,0.809239,0.648064,1.164691,0,0.920464
7.9800,0.803725,0.553557,0.886590,0,0.897270
8.4800,0.805841,0.474778,0.726909,0,0.876715
8.9800,0.813299,0.408877,0.658717,0,0.880963
9.4800,0.808730,1.020176,2.336816,0,0.995556
9.9800,0.804848,0.858469,2.023441,0,0.997904
10.4800,0.813346,0.725850,1.523598,0,0.989677
10.9800,0.814597,0.616705,1.282993,0,0.973468
11.4800,0.807982,0.526451,1.072251,0,0.943539
11.9800,0.812646,0.451549,0.757268,0,0.928069
12.4800,0.818325,0.389101,0.767448,0,0.913104
12.9800,0.811659,0.336851,0.525606,0,0.912727
13.4800,0.810463,0.292945,0.528694,0,0.910552
13.9800,0.817839,0.255924,0.480171,0,0.915338
14.4800,0.813781,0.224584,0.303759,0,0.917472
14.9800,0.806835,0.197970,0.427871,0,0.924125
15.4800,0.812417,0.175289,0.238243,0,0.929414
15.9800,0.812487,0.155903,0.330293,0,0.938085
16.4800,0.802315,0.139282,0.307386,0,0.946314
16.9800,0.803193,0.124995,0.176739,0,0.955379
17.4800,0.807193,0.112680,0.331627,0,0.963201
17.9800,0.797518,0.102040,0.137857,0,0.970217
18.4800,0.792350,0.092826,0.291792,0,0.975812
18.9800,0.798280,0.084831,0.267914,0,0.980517
19.4800,0.792472,0.077879,0.163799,0,0.984419
19.9800,0.782246,0.071822,0.337189,0,0.988336
20.4800,0.786847,0.066536,0.123834,0,0.991236
20.9800,0.786719,0.061914,0.288224,0,0.994149
21.4800,0.774443,0.057868,0.267606,0,0.996005
21.9800,0.774606,0.054318,0.159045,0,0.997539
22.4800,0.779665,0.051200,0.330107,0,0.998332
22.9800,0.769257,0.048456,0.106659,0,0.999002
23.4800,0.763504,0.046038,0.309518,0,0.999323
23.9800,0.771068,0.043904,0.270142,0,0.999585
24.4800,0.765826,0.042017,0.171938,0,0.999711
24.9800,0.755181,0.040346,0.360675,0,0.999827
