time,C_mean,qB_mean,HH2,coker,tangency
0.0000,1.000000,0.000000,0.000000,0,0.000000
0.4800,0.859626,0.000000,0.809683,0,0.847000
0.9800,0.718523,0.000000,0.511587,0,0.859551
1.4800,0.584206,0.000000,0.850578,0,0.861524
1.9800,0.483798,0.000000,0.417516,0,0.851722
2.4800,0.401521,0.000000,0.420225,0,0.835950
2.9800,0.412230,0.555775,2.598777,0,0.943028
3.4800,0.427275,0.461877,1.122302,0,0.978834
3.9800,0.462038,0.385651,1.099354,0,0.986119
4.4800,0.450713,0.323478,0.565390,0,0.980530
4.9800,0.429085,0.272598,0.867206,0,0.967247
5.4800,0.442730,0.230762,0.407167,0,0.942131
5.9800,0.439230,0.862907,1.551006,0,0.929382
6.4800,0.426011,0.719631,1.366266,0,0.929823
6.9800,0.449495,0.603021,0.916853,0,0.935697
7.4800,0.475193,0.507660,1.107696,0,0.944769
7.9800,0.464065,0.429413,0.610492,0,0.944094
8.4800,0.468346,0.364902,0.809357,0,0.928029
8.9800,0.497916,0.311527,0.732109,0,0.903139
9.4800,0.497053,0.933830,1.645431,0,0.902715
9.9800,0.491311,0.781794,1.748599,0,0.913818
10.4800,0.520962,0.657678,1.094970,0,0.926672
10.9800,0.536555,0.556015,1.186337,0,0.932114
11.4800,0.527780,0.472343,1.021059,0,0.923125
11.9800,0.546012,0.403237,0.615447,0,0.902346
12.4800,0.570808,0.345892,0.893064,0,0.874616
12.9800,0.565223,0.298139,0.421078,0,0.850759
13.4800,0.569759,0.258195,0.656411,0,0.826620
13.9800,0.595910,0.224667,0.609008,0,0.806324
14.4800,0.597212,0.196407,0.338157,0,0.786535
14.9800,0.590030,0.172511,0.626632,0,0.769987
15.4800,0.609648,0.152226,0.253242,0,0.754121
15.9800,0.618792,0.134957,0.504628,0,0.742544
16.4800,0.605815,0.120204,0.443873,0,0.735945
16.9800,0.614116,0.107567,0.222417,0,0.729830
17.4800,0.629207,0.096710,0.532871,0,0.728151
17.9800,0.617534,0.087359,0.147449,0,0.719335
18.4800,0.613441,0.079285,0.454383,0,0.712820
18.9800,0.630150,0.072298,0.411874,0,0.699181
19.4800,0.625302,0.066237,0.235700,0,0.692870
19.9800,0.611749,0.060971,0.524512,0,0.700957
20.4800,0.624409,0.056385,0.158493,0,0.717426
20.9800,0.628794,0.052384,0.444689,0,0.755252
21.4800,0.611588,0.048887,0.395007,0,0.784019
21.9800,0.615433,0.045826,0.216470,0,0.816208
22.4800,0.627627,0.043142,0.503124,0,0.833301
22.9800,0.613450,0.040784,0.125848,0,0.851696
23.4800,0.606706,0.038710,0.457204,0,0.860243
23.9800,0.622018,0.036882,0.395640,0,0.869434
24.4800,0.616076,0.035268,0.238922,0,0.873209
24.9800,0.600990,0.033841,0.529525,0,0.878384
