src_idx,tgt_idx,weight
71,71,4687329.790698173
71,15,2058.11235
15,71,1440.5416899999998
15,15,902442.0769300011
71,11,60628.82521000006
11,11,6062140.4037975315
60,71,31152.801769999973
60,60,1555821.2575250298
11,71,41328.196939999994
71,60,13443.457569999995
15,11,43870.705100000094
11,15,38254.76641999993
60,68,12003.352539999996
68,68,1752904.2139790717
68,60,20594.203549999995
71,68,26257.22983999996
68,71,46501.486190000054
71,33,34192.67557000002
71,31,13417.327719999996
31,71,6915.075399999994
33,33,911009.7529649924
15,72,39579.40299999997
33,71,6379.164740000003
31,33,29901.29514999995
72,15,27244.519799999973
72,72,2711774.515096127
33,31,36455.798659999986
11,72,192716.44060000044
15,31,3517.463940000002
31,31,634003.0007689942
15,10,5760.206170000003
62,71,75347.1614600001
31,15,4103.636190000003
71,62,82571.61362000009
10,15,5252.909119999997
62,62,4979250.538068316
72,11,179549.1240200003
10,10,51434.717170000025
10,31,2757.4682999999995
31,10,4800.65483
60,62,2654.5356600000023
62,60,2003.7238799999998
15,33,1004.5585000000001
33,15,768.7995
10,33,499.1608900000001
33,10,631.0326500000001
35,62,26089.82060000001
35,35,3673636.16264413
62,35,23175.90387000007
35,60,2595.1726000000003
60,35,4213.605100000002
71,35,27184.812859999984
35,71,21788.678490000017
60,33,7313.612280000002
68,72,6421.717519999998
72,68,1075.99051
60,72,19074.486269999987
33,60,735.2438999999999
72,60,9649.926979999997
31,11,4540.139170000001
72,71,77042.81681999998
11,31,2089.6088000000004
31,32,95907.61014
33,32,39944.98664000004
32,32,2515510.250180056
71,72,81361.30123999994
32,31,97892.55694000002
62,68,1315.2053399999998
32,33,6051.759929999997
10,11,6616.345250000002
68,62,1071.5171
11,10,5872.216669999998
33,11,999.0072999999999
71,0,3804.4054499999975
0,35,8252.543769999995
35,0,29935.40631000003
0,0,707610.6824570071
55,72,2210.1576099999997
31,72,43459.08308999998
72,55,4247.370140000002
55,60,504.99667999999997
55,55,143545.30604000032
72,31,42268.50181999989
33,72,1526.0250200000005
0,60,2733.27741
60,55,2565.715980000001
60,0,2130.7318700000005
71,55,2938.359590000002
5,5,918524.6409480002
68,5,3635.7720999999988
55,71,5738.986720000002
72,33,3453.3347400000002
5,68,1142.54942
62,5,14420.550860000003
71,65,14560.913769999996
65,71,11616.249839999997
55,68,81.20761999999999
5,62,8798.702520000003
65,65,379524.50426000194
71,32,7908.627140000006
71,73,27181.292569999972
73,31,9787.464270000013
5,65,19916.3381
73,73,212989.91768699954
73,71,24568.695399999953
72,25,71310.20943999986
0,71,6375.871349999999
32,72,34883.66891
25,72,49261.40011999996
25,25,1659959.6703550308
73,72,25166.73608000004
65,5,7927.121830000003
72,32,25997.883280000002
62,72,3354.049120000002
72,62,720.5747299999999
68,65,469.1753000000001
25,55,2051.9220199999995
68,55,295.67814000000004
72,73,29334.642020000007
55,25,951.2292899999999
25,71,67660.23392999991
71,25,53612.10272000013
71,64,16012.092870000011
64,64,264315.4194539979
72,64,10046.838850000002
64,71,16073.52631999997
64,72,4787.637489999999
55,33,1262.21186
11,73,8209.0489
11,33,135.7022
5,71,8052.183099999996
71,5,8229.173819999996
62,25,75.1565
65,68,70.64161
32,71,6434.705259999998
55,73,2859.9512999999997
31,73,10376.252569999993
72,35,2541.260139999999
71,10,2529.76582
10,73,1034.4564100000002
33,55,147.44192
60,73,2227.7916699999996
73,11,1782.5953500000005
73,33,718.8680200000001
33,73,771.0429400000002
35,72,10621.16774
64,25,2633.834609999999
68,51,3388.0353999999998
51,68,481.70719
64,55,3197.549130000001
55,64,1982.5962600000003
51,51,130896.9456919994
25,64,3170.4568600000007
73,10,1136.64272
31,70,852.9046000000002
68,59,1927.3060700000003
32,70,3544.3865600000017
60,25,792.62097
59,59,1469177.3571940006
73,60,294.5875
70,70,456583.5438889963
73,32,5777.871530000001
59,51,6722.912000000002
25,60,227.43283
51,59,7596.009190000002
70,32,5421.292079999998
71,51,3070.5610499999984
73,55,691.96099
59,68,145.4992
70,11,9162.694329999993
51,72,33.664
11,70,19214.46551000001
51,71,3442.960199999999
55,32,1998.9936000000002
51,25,54.3868
71,59,22089.752489999995
60,64,947.9127099999997
64,60,349.46732000000003
70,31,1281.46711
10,71,2960.7246400000004
32,55,255.51729999999998
72,59,7784.090429999995
0,72,10318.268599999992
73,70,6470.582210000001
71,70,10340.235059999999
68,25,265.02082
55,31,374.3669
25,59,4830.370830000004
59,71,23808.265630000013
59,25,2837.9508
70,73,6845.15265
60,70,41.241200000000006
25,51,119.72556
72,0,2008.5279099999993
60,31,339.0209899999999
25,33,86.5703
59,72,4807.2953499999985
33,25,17.4814
31,60,22.9972
55,51,166.16461
73,25,4412.359039999999
64,73,3248.3295000000007
25,31,193.91279999999998
25,73,6717.425930000005
73,64,235.80638000000002
32,73,2100.2533899999994
64,33,55.8157
31,55,62.697
60,32,168.2815
64,31,122.3851
9,71,59092.595130000045
55,59,89.76128
71,9,59803.28238999989
9,9,71936.61504999982
31,64,33.8896
64,32,393.10799999999995
73,15,1507.26863
55,56,4559.548259999997
21,72,22551.838579999952
