region,index,centroid_x,centroid_y,centroid_z
ACA,0,1548.4900184506707,2014.559939376367,645.0945170141542
AI,1,1591.8393239857953,1943.3106905469567,1207.7927974678657
AOB,2,1508.7505755637833,1412.2747795355099,1007.0946135981152
AOBgr,3,1513.2434268620998,2264.0408914148966,1546.1484178881246
AON,4,1534.6333909054647,1628.4166926452085,1375.3127375655858
AUD,5,1566.7447652546837,2880.9849834474458,649.7592899518471
BLA,6,1566.8407148954334,2798.2013380281687,1438.6702208706786
BMA,7,1542.2792283621839,2745.6997709720376,1541.7699334221038
BS,8,1528.8485243201837,2862.200239371888,1035.018218690157
CA1sp,9,1545.8961851789331,3011.840845712357,820.8278357528696
CB,10,1527.7277090592336,3805.1099283778553,805.834168989547
CBXmo,11,1568.2556439007715,4007.793123502366,574.050780732986
CNU,12,1539.8013272093226,2264.172031597263,1137.955285142999
COA,13,1535.7640620359884,2860.3275821064553,1634.6168711463447
CTXsp,14,1611.0982336667378,2249.158359225367,1321.3280612896363
CUL4,15,1517.0324384521632,3815.51044123248,421.0121632331658
DORpm,16,1530.1111555144737,2705.79947350227,968.6862041212011
DORsm,17,1514.7334050272818,2794.7298710534906,1055.774513967262
DP,18,1528.6307051981098,1818.833635041803,1167.304901126863
ECT,19,1589.3853620555124,2959.416358265522,982.6002854754208
EP,20,1600.6169173319006,2425.787750230273,1396.6535761436905
FN,21,1520.4154468662161,3963.4416667488535,760.7670234232457
FRP,22,1432.6629263157895,1410.2839105263156,825.4565084210526
GU,23,1637.1001937421554,2050.0823650708267,1152.3766325981712
HB,24,1545.6144958495786,3619.3629763551758,1213.0940117595271
HPF,25,1541.0993427397887,2972.07271303973,890.0079713115795
HY,26,1529.815219035692,2644.0845873512835,1475.8196462116468
ILA,27,1535.6972888589398,1779.196138814016,1022.787997304582
LA,28,1596.5983915600136,2792.671497751643,1251.1096748529922
LSX,29,1539.5451539739956,2134.252721673673,1126.032061198553
LZ,30,1524.744852518729,2757.063418496513,1366.9596091190906
MB,31,1543.947817416317,3204.8890087916675,912.690178269039
MBmot,32,1559.7464871475306,3202.455720127746,784.6079537700575
MBsen,33,1541.5646370177071,3431.502103261882,391.0088558807083
MEZ,34,1532.8829809419276,2773.055154160846,1503.5122535422072
MO,35,1545.5949325073975,1851.776667853449,670.5640548533762
MY,36,1575.1380547172644,4202.817079046047,1274.8352609569522
MY-mot,37,1574.4459602698435,4107.257191273145,1254.0803375513133
MY-sat,38,1570.4075288937809,4009.8984369840396,1473.8608200330214
MY-sen,39,1583.7640065232974,4196.334376487455,1159.3321935770612
OLF,40,1530.5841280668421,1298.2790136076617,1186.305152825493
ORB,41,1542.0463012478099,1614.3142496047178,1032.7810299346183
P-mot,42,1561.8875161140272,3645.6533181606756,1284.4608315502692
P-sat,43,1559.1215148974231,3517.2864279724968,1178.186813069484
P-sen,44,1544.4144294090702,3642.7865923041686,1189.244424919835
PA,45,1554.5782406703283,3031.855354175468,1464.7462089846501
PAA,46,1514.8833345662408,2674.0781472763956,1703.4132178883658
PAL,47,1504.1773075242902,2508.1532981848313,1315.509770053476
PALc,48,1540.3374777667984,2290.75082756917,1343.9367885375495
PALm,49,1540.9841566005177,2188.6559135030193,1500.4194635461606
PALv,50,1561.195423521945,2197.437095640287,1606.6329068007615
PAR,51,1451.0300868492182,3418.715549418263,745.2553009754379
PERI,52,1511.1975110311748,3024.6569880095926,1018.6517848920863
PIR,53,1586.3885923362236,2273.171248080512,1493.7349729499867
PL,54,1542.1092209482492,1678.1909215990083,812.5341589711808
POST,55,1591.157278712928,3230.7374728043055,493.17126062063437
PRE,56,1564.0067316122747,3317.1549829517776,789.1934445932781
PVR,57,1520.1290589660744,2403.9422326332797,1552.1791436995152
PVZ,58,1528.9033576143866,2667.460987935352,1580.7773571591167
RHP,59,1575.3130219185953,3337.6630865878183,961.7339727859722
RSP,60,1567.1336803464749,2844.9056567550165,272.4035069566003
SNc,61,1543.0399228130361,3339.8214565465983,1042.6547680102915
SS,62,1590.6643658949629,2320.1190237086394,649.1111356974604
STRv,63,1543.3660094629452,2029.121943518047,1636.6551658479684
SUB,64,1533.0478053411355,3234.738669696215,774.4548798555778
TEa,65,1556.405342557069,3008.5867710531365,760.0412562823709
TR,66,1562.502729627956,3161.9750504594062,1413.2856514535322
TT,67,1505.1346949454464,1740.1431362725452,1424.1631195724785
VIS,68,1570.5775575174432,3093.971843202668,285.7697803769401
VISC,69,1590.363049039859,2513.253021957004,1087.222320174432
VS,70,1561.2299224307417,3291.5086838248435,942.7193746201966
bgr,71,1632.045280499134,3271.861293214204,841.0095716294301
fiber tracts,72,1552.7366953468002,3254.8605930840254,975.6477071672668
root,73,1531.4123720501475,3189.455368731564,1070.7699386061947
sAMY,74,1520.052602428408,2637.0979986254297,1520.1811615120275
